Price,AAPL,MSFT,JPM,KO,MCD,XOM,CAT,JNJ,WMT,DIS,^GSPC
Ticker,AAPL,MSFT,JPM,KO,MCD,XOM,CAT,JNJ,WMT,DIS,^GSPC
Date,,,,,,,,,,,
2022-05-31,146.109070,264.094055,120.651878,57.076611,232.817413,84.946327,202.311600,161.729019,40.937569,108.629074,4132.149902
2022-06-30,134.408630,250.065277,102.749840,56.653355,227.897247,76.555428,167.547958,160.936859,38.834503,92.852089,3785.379883
2022-07-31,159.762650,273.345520,105.259026,58.205544,244.466690,86.647797,185.815521,158.226028,42.178776,104.360229,4130.290039
2022-08-31,154.562103,254.583130,104.689682,55.974205,234.172699,85.449944,174.330597,146.276566,42.338482,110.242195,3955.000000
2022-09-30,136.052338,227.246933,96.193367,50.813072,215.351105,78.806618,154.859802,149.103134,41.608593,92.783234,3585.620117
2022-10-31,150.957077,226.495636,115.873886,54.682884,254.475296,100.017868,204.296448,158.787170,45.660370,104.793022,3871.979980
2022-11-30,145.729584,248.947113,128.334183,58.118275,254.596649,100.496254,224.618393,162.465439,48.897301,96.265198,4080.110107
2022-12-31,128.123062,234.658417,124.544907,58.530449,247.339447,100.359024,227.611237,162.273941,45.487137,85.455391,3839.500000
2023-01-31,142.283325,242.476456,129.987381,56.423325,250.971634,105.554398,239.706284,150.120636,46.328407,106.711044,4076.600098
2023-02-28,145.359970,244.051788,134.119217,54.757858,247.696075,100.004166,228.687210,140.787460,45.768093,97.976662,3970.149902
2023-03-31,162.854996,282.801514,121.918922,57.076622,263.946625,100.544472,218.462845,143.409943,47.481220,98.488129,4109.310059
2023-04-30,167.575729,301.399933,129.338287,59.480103,279.182587,108.502937,208.878128,151.459427,48.813969,100.819275,4169.479980
2023-05-31,175.051849,322.126984,127.967674,55.316952,269.138580,93.686241,197.486115,143.465454,47.488293,86.517685,4179.830078
2023-06-30,191.829437,334.775513,137.142563,55.836197,281.693542,99.188080,236.167465,154.298813,51.014938,87.816048,4450.379883
2023-07-31,194.282089,330.233734,148.948318,57.859024,278.244629,99.178841,254.519547,156.172546,51.884773,87.432442,4588.959961
2023-08-31,185.796768,322.211792,138.929413,55.897079,266.809235,102.831917,271.174774,150.719116,52.777321,82.307869,4507.660156
2023-09-30,169.549271,311.062317,137.685669,52.300152,251.346664,109.632996,263.332672,146.245316,52.092018,79.721001,4288.049805
2023-10-31,169.113541,333.090363,132.027100,53.195343,250.134995,98.695808,218.045242,139.287491,53.225517,80.252144,4193.799805
2023-11-30,188.107483,373.284607,149.279739,55.031612,268.902008,95.795998,243.091278,145.221802,50.710972,91.170135,4567.799805
